season,yr,mnth,holiday,workingday,weathersit,temp,hum,windspeed,cnt,pred_cnt
3,0,9,0,1,1,0.655,0.639167,0.141796,5115,4899.988038
3,0,9,0,1,3,0.633913,0.939565,0.192748,1842,2998.545375
3,0,9,0,1,1,0.673333,0.697083,0.1673,4785,4772.375075
3,0,9,0,0,2,0.491667,0.718333,0.189675,4511,4355.323004
3,0,9,0,0,1,0.5075,0.695,0.178483,4274,4831.054534
4,0,10,0,1,2,0.384167,0.760833,0.0833458,3570,3566.753879
4,0,10,0,1,1,0.538333,0.647917,0.17725,4826,4691.271749
4,0,10,0,1,2,0.566667,0.80875,0.143042,4563,4018.417418
4,0,10,0,1,2,0.5325,0.701667,0.110087,4748,4308.056589
4,0,10,0,0,1,0.4225,0.629167,0.0926667,4308,4174.665256
4,0,10,0,1,2,0.47,0.812917,0.197763,2659,3844.153734
4,0,10,0,1,2,0.330833,0.585833,0.229479,3747,3455.674162
4,0,11,0,1,1,0.400833,0.68375,0.135571,4068,3789.500991
4,0,11,0,1,1,0.395,0.75875,0.057225,4035,4005.872552
4,0,11,0,1,2,0.38,0.813333,0.189067,2933,3250.376337
4,0,11,0,0,1,0.356667,0.552917,0.212062,4067,3593.171015
4,0,11,0,1,2,0.341667,0.575833,0.305362,3053,3517.456626
4,0,11,1,0,1,0.373333,0.549167,0.167304,1495,3496.91818
4,0,11,0,0,1,0.375833,0.681667,0.0684208,3068,3642.694331
4,0,11,0,1,1,0.325,0.613333,0.271158,3613,3670.331144
4,0,12,0,1,3,0.4625,0.949583,0.232583,2594,2791.190791
4,0,12,0,1,3,0.41,0.970417,0.266175,705,2376.840424
4,0,12,0,0,1,0.275,0.5075,0.233221,3190,3166.545752
4,0,12,0,1,2,0.385833,0.595417,0.0615708,3750,3689.728684
1,0,12,0,1,2,0.325,0.7625,0.18845,1162,2087.083594
1,0,12,0,1,1,0.311667,0.636667,0.134337,2999,2180.130034
1,1,1,0,1,1,0.15,0.44125,0.365671,2236,2750.128718
1,1,1,0,1,1,0.334167,0.542083,0.167908,4098,3990.842626
1,1,1,0,0,2,0.173333,0.83125,0.222642,1301,2088.736455
1,1,1,0,1,1,0.3425,0.835833,0.123767,4339,3439.994933
1,1,2,0,1,1,0.265,0.562083,0.194037,3830,3428.170428
1,1,2,0,1,1,0.348333,0.53125,0.1816,4169,4249.707954
1,1,2,0,1,2,0.316667,0.752917,0.091425,3005,3482.232573
1,1,2,0,1,2,0.344348,0.804783,0.179117,1834,3449.686952
1,1,3,0,0,1,0.2875,0.350417,0.22575,4118,3611.657237
2,1,3,0,0,2,0.4375,0.880833,0.220775,4996,4260.787019
2,1,4,0,0,2,0.425833,0.67625,0.172267,6041,5378.323326
2,1,4,0,1,1,0.3975,0.46625,0.290429,5409,5729.239387
2,1,4,0,0,1,0.606667,0.507917,0.225129,7132,6513.780638
2,1,4,1,0,1,0.664167,0.561667,0.284829,6370,6364.003618
2,1,4,0,1,1,0.608333,0.390417,0.273629,6691,6325.907084
2,1,4,0,1,1,0.526667,0.694583,0.149871,7290,6422.987466
2,1,4,0,0,3,0.396667,0.835417,0.344546,1027,3227.435719
2,1,4,0,1,2,0.321667,0.766667,0.303496,3214,4247.714998
2,1,5,0,1,2,0.613333,0.659583,0.156096,5740,6397.68467
2,1,5,0,1,1,0.505833,0.552083,0.314063,6572,6130.371228
2,1,5,0,1,1,0.533333,0.360417,0.236937,7030,6344.389806
2,1,5,0,1,1,0.593333,0.52,0.229475,7384,6542.07019
2,1,5,0,1,1,0.564167,0.523333,0.136817,7639,6842.419314
2,1,5,0,0,1,0.6,0.45625,0.083975,8294,6921.767324
2,1,5,0,0,1,0.620833,0.530417,0.254367,7129,6611.266174
2,1,5,0,1,2,0.598333,0.81125,0.233204,4359,4640.861061
2,1,5,0,1,2,0.621667,0.774583,0.102,5260,6086.382887
2,1,5,0,1,1,0.655,0.716667,0.172896,6770,6598.213647
2,1,5,0,0,1,0.69,0.697083,0.215171,6591,6486.178307
2,1,5,0,1,1,0.7225,0.684583,0.2954,5743,6506.703846
2,1,6,0,0,1,0.583333,0.549167,0.186562,8120,7248.8745
2,1,6,0,1,1,0.5975,0.487083,0.284833,6998,7033.6117
2,1,6,0,0,1,0.710833,0.437083,0.144287,7498,6973.720487
2,1,6,0,1,1,0.7825,0.592083,0.113812,6211,6645.849783
3,1,6,0,1,1,0.7775,0.57375,0.182842,5823,6578.765286
3,1,6,0,1,1,0.630833,0.373333,0.347642,7442,6884.606837
3,1,6,0,1,1,0.6975,0.36,0.271775,7335,6929.95329
3,1,7,0,1,1,0.77,0.600417,0.165429,6591,6760.01793
3,1,7,0,1,2,0.665833,0.844167,0.208967,5870,5102.705727
3,1,7,0,1,1,0.776667,0.596667,0.284813,6861,6684.846682
3,1,8,0,0,1,0.769167,0.6525,0.290421,5464,6795.896052
3,1,8,0,0,1,0.678333,0.603333,0.177867,7865,6912.510081
3,1,8,0,1,1,0.695833,0.635833,0.0845958,7765,7264.752078
3,1,8,0,1,1,0.685,0.552083,0.112562,7697,7236.33002
3,1,9,0,0,2,0.696667,0.815,0.0640708,5810,6115.755445
3,1,9,0,1,1,0.736667,0.74125,0.187808,7112,6725.135145
3,1,9,0,1,1,0.703333,0.73625,0.171646,7504,6799.922189
3,1,9,0,0,2,0.659167,0.799167,0.281104,5976,5907.834779
3,1,9,0,1,1,0.599167,0.577083,0.131846,7870,7665.17867
3,1,9,0,1,1,0.6125,0.637083,0.0827208,7804,7694.13734
4,1,9,0,1,1,0.514167,0.492917,0.142404,7436,7261.641231
4,1,9,0,1,2,0.619167,0.69,0.164179,7415,7032.914236
4,1,10,0,1,2,0.520833,0.649167,0.0908042,6778,7117.594195
4,1,10,0,1,3,0.590833,0.871667,0.104475,4639,4367.89999
4,1,10,0,1,2,0.6575,0.722917,0.117546,7328,7104.512381
4,1,10,0,0,2,0.415833,0.708333,0.141162,3510,5814.770363
4,1,10,1,0,2,0.383333,0.709583,0.189679,5478,4945.730568
4,1,10,0,1,1,0.514167,0.630833,0.187821,7691,7192.465318
4,1,10,0,1,1,0.435,0.463333,0.181596,7570,6767.953957
4,1,10,0,1,2,0.561667,0.7075,0.296037,5875,6746.032581
4,1,10,0,0,1,0.484167,0.572917,0.117537,8090,6988.64682
4,1,10,0,1,1,0.544167,0.641667,0.0945458,7466,7552.695597
4,1,11,0,1,1,0.319167,0.494167,0.236325,5259,5239.400823
4,1,11,0,1,1,0.345,0.524583,0.171025,5698,5344.069275
4,1,11,0,1,2,0.291667,0.786667,0.237562,3959,4300.895854
4,1,11,0,1,1,0.296667,0.50625,0.210821,5260,5316.781174
4,1,11,0,1,1,0.298333,0.649583,0.0584708,5668,5052.518899
4,1,12,0,1,2,0.435833,0.925,0.190308,5170,4453.612701
4,1,12,0,1,1,0.281667,0.642917,0.131229,5611,4882.23325
1,1,12,0,1,2,0.253333,0.59,0.155471,3095,2445.271768
