season,yr,mnth,holiday,workingday,weathersit,temp,hum,windspeed,cnt,RF_pred_cnt
4,1,10,0,1,2,0.561667,0.7075,0.296037,5875,7275.748
2,1,5,0,1,1,0.6275,0.735417,0.162938,6296,6556.494
2,1,4,0,0,2,0.37666700000000003,0.489583,0.129975,4220,5160.178
4,0,10,0,1,3,0.5417390000000001,0.895217,0.243339,2424,2947.064
4,0,12,0,0,1,0.238333,0.58625,0.16977899999999999,2431,3046.084
2,1,3,0,0,2,0.424167,0.738333,0.25061700000000003,6235,4447.072
4,0,11,0,1,1,0.325,0.613333,0.271158,3613,3664.284
1,1,1,0,0,1,0.166667,0.419167,0.251258,2311,2724.79
3,0,7,0,1,1,0.663333,0.59125,0.182833,5538,5078.972
2,0,4,0,0,2,0.3425,0.8775,0.13308299999999998,2455,2154.496
2,1,3,0,1,2,0.37,0.580833,0.138067,5459,4852.326
3,0,6,0,1,1,0.744167,0.634167,0.144283,4648,4345.074
2,0,5,0,1,2,0.414167,0.737083,0.328996,2633,2396.906
2,0,6,0,1,1,0.649167,0.735833,0.143029,4844,4658.042
4,1,10,0,1,2,0.520833,0.649167,0.09080419999999999,6778,7287.044
2,1,5,0,1,1,0.564167,0.797083,0.138058,6169,5907.58
2,0,4,0,1,2,0.4125,0.819167,0.25061700000000003,2162,2612.078
3,0,7,0,1,1,0.838333,0.5425,0.17413800000000001,3846,3787.466
2,1,3,0,1,1,0.484167,0.48125,0.291671,5698,5848.166
3,1,6,0,1,1,0.7158329999999999,0.504167,0.300383,6779,7223.81
2,1,5,0,1,1,0.593333,0.52,0.229475,7384,7113.808
1,1,1,1,0,1,0.273043,0.381304,0.329665,1951,3164.73
1,0,1,0,1,1,0.22695700000000002,0.436957,0.1869,1600,1719.2
4,1,11,0,1,1,0.31916700000000003,0.494167,0.236325,5259,5262.24
4,0,11,0,1,1,0.4,0.758333,0.06219580000000001,4109,3958.234
4,1,10,0,0,1,0.464167,0.51,0.166054,6824,7294.498
1,0,12,0,0,1,0.3025,0.5425,0.190304,1011,2209.67
3,0,9,0,1,2,0.549167,0.69,0.15174200000000002,4539,4416.964
3,0,8,0,1,1,0.640833,0.455417,0.146763,5895,5053.436
1,1,1,0,1,1,0.15,0.44125,0.365671,2236,2786.802
2,1,4,0,1,1,0.4425,0.408333,0.155471,6398,6223.59
4,0,12,0,1,2,0.3175,0.66375,0.06095830000000001,3740,3562.268
3,1,9,0,1,1,0.736667,0.74125,0.187808,7112,6756.15
4,0,11,0,1,3,0.456667,0.93,0.136829,1817,2637.462
2,0,4,0,1,1,0.595,0.614167,0.241925,3944,4113.326
2,1,4,1,0,1,0.664167,0.561667,0.284829,6370,6677.35
2,0,4,0,1,2,0.335833,0.83625,0.226992,1471,2102.364
3,1,8,0,1,1,0.764167,0.5875,0.168533,7350,6647.932
3,1,7,0,1,1,0.77,0.600417,0.165429,6591,6459.73
3,0,9,0,0,1,0.709167,0.742083,0.206467,4940,4407.676
4,0,10,0,0,3,0.25416700000000003,0.8825,0.351371,627,2343.162
4,0,9,0,0,2,0.634167,0.845,0.0503792,5010,5002.028
1,1,2,0,1,2,0.4075,0.7375,0.237567,3487,3628.53
3,0,8,0,1,2,0.731667,0.6575,0.13558299999999998,3574,4610.088
1,0,3,0,1,2,0.261667,0.610417,0.203346,1944,1917.634
4,0,12,0,1,2,0.4225,0.634167,0.268042,3709,3660.652
3,0,8,0,1,1,0.636667,0.554583,0.159825,4634,5024.52
4,1,10,0,1,1,0.5875,0.63625,0.07277919999999999,7693,7562.284
2,0,5,0,1,1,0.681667,0.65375,0.240679,4679,4601.182
1,1,3,0,1,2,0.353333,0.657083,0.144904,3194,3846.602
4,0,12,0,0,1,0.299167,0.612917,0.0957833,3614,3617.474
1,0,1,0,1,1,0.150833,0.482917,0.22326700000000002,1321,1435.602
4,1,12,0,1,1,0.4525,0.7675,0.08272080000000001,6234,5896.716
3,1,9,0,0,2,0.696667,0.815,0.06407080000000001,5810,6288.284
1,1,1,0,1,2,0.2175,0.45,0.20275,3163,2767.146
4,0,10,0,1,1,0.5341670000000001,0.579583,0.175379,4570,4841.002
4,1,10,0,1,2,0.446667,0.761667,0.1903,6392,5276.378
4,0,11,0,0,2,0.463333,0.6845829999999999,0.18595,3520,3540.18
2,1,5,0,0,1,0.69,0.697083,0.215171,6591,6500.726
1,0,1,0,1,1,0.172727,0.599545,0.304627,1162,1449.274
2,1,4,0,1,1,0.433913,0.5043479999999999,0.312139,5936,5981.462
3,0,7,0,1,1,0.848333,0.580417,0.1331,3387,3685.634
2,1,6,0,1,1,0.7825,0.592083,0.11381199999999998,6211,6367.936
3,1,8,0,1,1,0.703333,0.730417,0.128733,6917,6649.004
